File: ALL_001_F_GER_ENG_ST1.TextGrid
Clauses: 28
  independent               | a black bird saw a hat
  subordinate_acl:relcl     | who chased the elephant at the end
  parataxis                 | he decided
  nonfinite_xcomp           | to destroy all of his creations
  parataxis                 | he spilled the magic tuner
  subordinate_acl:relcl     | that he filled with his magic stick
  nonfinite_xcomp           | and started to go home
  subordinate_acl:relcl     | but what he didn't know
  coordinated_vp            | was that he was a creation of a magical dragon
  subordinate_acl:relcl     | who invented the stick
  coordinated_vp            | and who created neo himself
File: ALL_011_F_CMN_ENG_ST1.TextGrid
Clauses: 38
  independent               | this is a story about two birds and a hat
  subordinate_advcl         | so one day when the black bird was walking on the road
  parataxis                 | he happened
  nonfinite_xcomp           | to find a hat
  parataxis                 | he was very interested by the hat
  subordinate_advcl         | so he put it on his head
  coordinated_vp            | and walk along
  coordinated_vp            | then he met another white bird
  parataxis                 | the white bird stared him strangely
  parataxis                 | so the black bird was very annoyed by the white bird
  subordinate_advcl         | until finally the white bird sit on the ground
  coordinated_vp            | and started to laugh
  parataxis                 | the black bird was very embarrassed
  subordinate_advcl         | so he dropped his hat
  coordinated_vp            | and ran away
  coordinated_vp            | but the white bird was
  subordinate_ccomp         | he had a secret in his mind
  parataxis                 | he wanted the hat
  subordinate_advcl         | so until the black bird laughed
  subordinate_advcl         | he grabbed the hat
  coordinated_vp            | and put it on the tree
  coordinated_vp            | make the hat as his warm nest
  coordinated_vp            | and few days later the black bird walk near the nest of the 
  coordinated_vp            | and saw the hat
  parataxis                 | he was very angry
  parataxis                 | he grabbed the hat
  coordinated_vp            | and get it away from the white bird
  parataxis                 | he put the hat on his head
  coordinated_vp            | and suddenly he heard some voice in the hat
  parataxis                 | he feel very strange
  coordinated_vp            | and he looked straightly at the white bird
  subordinate_advcl         | until the white bird started to laugh
  coordinated_vp            | and the hat fell off the black bird's head
  parataxis                 | and there was a little little white bird
  subordinate_acl           | laughing on his hat
  parataxis                 | so until this moment did the black bird realize
  subordinate_ccomp         | that the white bird has already laid an egg in that hat
  coordinated_vp            | and now the egg is becoming his little kid
File: ALL_011_F_CMN_ENG_ST2.TextGrid
Clauses: 29
  independent               | this is a story about a little boy
  subordinate_acl           | blowing bubbles
  parataxis                 | so one day the little boy mike was sitting under a tree
  coordinated_vp            | and relaxed and blowing bubbles in the air
  coordinated_vp            | and gradually his techniques in bubble blowing becomes more 
  coordinated_vp            | and the bubble grew bigger and bigger
  coordinated_vp            | we can see
  subordinate_ccomp         | there is a little snake
  nonfinite_xcomp           | come out of the bubble
  coordinated_vp            | and then he blow a bubble larger
  subordinate_acl:relcl     | which gradually become a panther
  parataxis                 | the panther chased the snake
  parataxis                 | and the snake escaped
  subordinate_advcl         | so the little boy mike feel
  subordinate_advcl         | like he wanna
  nonfinite_xcomp           | blow another bigger one
  subordinate_acl:relcl     | which finally become an elephant
  coordinated_vp            | and the panther was frightened by the elephant
  subordinate_ccomp         | the panther ran away too
  parataxis                 | mike was very excited
  subordinate_advcl         | so decided
  nonfinite_xcomp           | to blow something bigger
  subordinate_advcl         | the elephant observing
  subordinate_ccomp         | that he was still blowing
  coordinated_vp            | ran away too
  parataxis                 | and then mike was so bored by all those
  subordinate_advcl         | that he threw away all the bubble water
  coordinated_vp            | he walked away
  coordinated_vp            | and behind him out of the bubble water that he threw there b
File: ALL_012_M_CMN_ENG_ST1.TextGrid
Clauses: 47
  subordinate_acl           | one day a black bird called john
  independent               | found a hat in the road
  parataxis                 | he thought
  subordinate_ccomp         | it was a really nice hat
  subordinate_advcl         | if i wear this hat
  subordinate_ccomp         | i will be a gentleman
  subordinate_advcl         | so he put on this hat
  coordinated_vp            | and walked around
  parataxis                 | he saw
  subordinate_ccomp         | the sun is fun
  parataxis                 | sun is good
  parataxis                 | and the weather is good
  parataxis                 | he liked the flowers and seems
  subordinate_ccomp         | that smiling at him
  coordinated_vp            | but the white bird in the road thought
  subordinate_ccomp         | this is really a good hat
  coordinated_vp            | but the white bird want this hat
  parataxis                 | how can she get the hat from the black bird
  parataxis                 | she just teased
  subordinate_ccomp         | the black bird thought
  subordinate_ccomp         | it's really ugly
  subordinate_advcl         | when he put down his hat
  subordinate_advcl         | so the black bird leaves the hat
  coordinated_vp            | and went away
  parataxis                 | the white bird think
  subordinate_ccomp         | it's really nice
  parataxis                 | i can get the hat back
  parataxis                 | i get the hat
  coordinated_vp            | and make nest
  nonfinite_xcomp           | use this hat
  coordinated_vp            | then she put the hat in the tree
  coordinated_vp            | and use that hat
  nonfinite_xcomp           | to make nest
  coordinated_vp            | but at the same time the black bird came back
  coordinated_vp            | and see this scenery
  parataxis                 | he thought
  subordinate_ccomp         | i was totally cheated by the white bird
  parataxis                 | he gets his hat back
  coordinated_vp            | and put
  subordinate_advcl         | once he put down the hat
  subordinate_ccomp         | he thought
  subordinate_ccomp         | wow that's a small bird inside
  parataxis                 | he found
  subordinate_ccomp         | he's really embarrassed
  parataxis                 | but at the same time the white bird is really happy
  subordinate_advcl         | because she have her small bird
  parataxis                 | come back that's all
File: ALL_012_M_CMN_ENG_ST2.TextGrid
Clauses: 42
  independent               | there is a boy
  subordinate_acl           | called john
  parataxis                 | he really likes
  nonfinite_xcomp           | to blow bubbles
  subordinate_advcl         | because he can live in his wonderland
  parataxis                 | once upon time he blew the bubble
  coordinated_vp            | and he can grow cars the shape of all kinds of things
  subordinate_acl:relcl     | he can imagine
  subordinate_acl:relcl     | which can be live on the earth
  parataxis                 | he blew a whole world a totally new world in his imagine lan
  subordinate_advcl         | after he got off his little boring about that
  parataxis                 | he want
  nonfinite_xcomp           | to play the foot chain game
  parataxis                 | so first he created the snake
  coordinated_vp            | and he think
  subordinate_ccomp         | which can chase snake
  parataxis                 | she then created the tiger
  subordinate_advcl         | and after the tiger created
  coordinated_vp            | he created a elephant again
  subordinate_advcl         | to terminate tiger
  parataxis                 | after that he thought
  subordinate_ccomp         | what should i do
  subordinate_advcl         | to terminate elephants
  parataxis                 | then he created a mouse
  subordinate_advcl         | to step into the nose of elephant
  coordinated_vp            | and after that he thought
  subordinate_ccomp         | what should i do after that
  parataxis                 | then he created the water
  coordinated_vp            | and put the water into the earth
  subordinate_advcl         | to terminate the mouse
  coordinated_vp            | and then he thought
  subordinate_ccomp         | everything is done
  subordinate_advcl         | so i can go back home
  subordinate_advcl         | but after he went back
  coordinated_vp            | there is
  subordinate_ccomp         | seahorse came from the earth
  parataxis                 | that's he forgot
  subordinate_ccomp         | there will be a lot of sea animals in the sea
  parataxis                 | he put a lot of water into the earth
  parataxis                 | and there will be a sea on the ground
  coordinated_vp            | and have all kinds of sea animals
  parataxis                 | so that's the story for the drawing the wonderland
File: ALL_013_M_JPN_ENG_ST1.TextGrid
Clauses: 29
  parataxis                 | in a sunny day a black bird
  subordinate_acl           | named john
  independent               | found a nice hat on the road
  coordinated_vp            | and he liked that hat
  subordinate_advcl         | so he put it in on his head
  coordinated_vp            | and walking in on the north side
  subordinate_advcl         | after that john met his friend mary
  subordinate_acl:relcl     | mary is a yellow bird
  coordinated_vp            | but suddenly mary made fun of him
  subordinate_advcl         | because she thought
  subordinate_ccomp         | that the hat does not suit him
  parataxis                 | then john got angry
  coordinated_vp            | and john left the hat on the road
  coordinated_vp            | and he went away
  coordinated_vp            | mary then took the hat
  coordinated_vp            | and carried it to a tree
  coordinated_vp            | and on a very small tree she got a rest on the hat
  coordinated_vp            | but john looked at that scene
  coordinated_vp            | then got angry again
  coordinated_vp            | and he reclaimed the property of the hat
  coordinated_vp            | and he took back
  coordinated_vp            | and took it back
  parataxis                 | mary claimed
  subordinate_ccomp         | that it's not a time
  coordinated_vp            | but john didn't care for her words
  coordinated_vp            | and john just wore the hat
  coordinated_vp            | but after that john realized
  subordinate_ccomp         | that there was a baby mary's baby in the hat
  independent               | this is the story of these pictures
File: ALL_013_M_JPN_ENG_ST2.TextGrid
Clauses: 30
  independent               | in a sunny day a boy leaned to a small tree
  subordinate_advcl         | played with a bubble mix
  coordinated_vp            | he produced many imaginary things by bubble mix for example 
  coordinated_vp            | and so on he played with those objects
  coordinated_vp            | but after that he hit upon an idea
  subordinate_acl           | of drawing a story in the wild natural world
  coordinated_vp            | at first he produced a snake by bubble mix
  coordinated_vp            | but then after that he produced a big big cat
  subordinate_acl:relcl     | which eats the snake
  coordinated_vp            | then he produced the elephant
  subordinate_acl:relcl     | which again eats the big cat
  parataxis                 | these these sequence of objects show the nat
  subordinate_ccomp         | the natural law of one eats another
  coordinated_vp            | another eats another and so on
  subordinate_advcl         | and after producing the elephant by bubble mix
  coordinated_vp            | he tried
  nonfinite_xcomp           | to produce something
  subordinate_acl:relcl     | which can eat
  coordinated_vp            | or which kills the elephant
  coordinated_vp            | the elephant scared about that and so he escaped from the pl
  subordinate_advcl         | after the elephant went to the sky
  parataxis                 | the boy got tired
  nonfinite_xcomp           | of playing with the bubble mix
  subordinate_advcl         | so he poured out the liquid
  coordinated_vp            | then he went home
  subordinate_acl:relcl     | but the place where he poured the liquid out there
  parataxis                 | was a baby of dragon so this the dragon
  coordinated_vp            | in the previously the boy tried
  nonfinite_xcomp           | to produce a big dragon
  subordinate_acl:relcl     | which is the king of the nature
File: ALL_014_M_TUR_ENG_ST1.TextGrid
Clauses: 29
  subordinate_acl           | the big bird called tj
  parataxis                 | he was very happy
  subordinate_advcl         | because he found a hat around the corner
  coordinated_vp            | and he took the hat
  parataxis                 | he really liked that
  coordinated_vp            | and he was walking very happily with that hat
  coordinated_vp            | and in the jungle he met a lady bird
  coordinated_vp            | but the lady was making fun of him
  subordinate_advcl         | because she really found
  subordinate_ccomp         | that his hat was very funny
  parataxis                 | i think that because it's very unusual
  subordinate_csubj         | to have a hat in a bird's hat
  subordinate_advcl         | since she made fun of him
  subordinate_advcl         | so he left the hat around there
  subordinate_advcl         | this time the lady really wanted
  nonfinite_xcomp           | to take the hat
  coordinated_vp            | and she took it with her later
  parataxis                 | she was standing on top of the hat so the other bird he was
  subordinate_acl:relcl     | who found the hat previously
  independent               | he was trying
  nonfinite_xcomp           | to get it back from the lady bird
  parataxis                 | the lady bird was very angry
  subordinate_advcl         | when he grabbed the hat
  parataxis                 | he grabbed the hat
  coordinated_vp            | and put into his hat
  coordinated_vp            | but then he realized
  subordinate_ccomp         | that there was something wrong in the hat
  parataxis                 | so on top of his hat he realized
  subordinate_ccomp         | that there is a baby of the lady bird
File: ALL_014_M_TUR_ENG_ST2.TextGrid
Clauses: 51
  independent               | a boy was sitting under the tree
  coordinated_vp            | and he was playing with bubbles
  parataxis                 | he filled air into his bubbles
  subordinate_advcl         | so that he could be able
  nonfinite_xcomp           | to make some figures from that
  parataxis                 | so first he made a very lovely rabbit
  coordinated_vp            | then he made everything cars animals
  subordinate_acl:relcl     | even the birds everything he was able
  nonfinite_xcomp           | to do with his bubbles
  parataxis                 | then he made a snake
  subordinate_ccomp         | using that one snake was very angry
  coordinated_vp            | and i think
  subordinate_ccomp         | he got scared
  coordinated_vp            | and he flew up a new bubble
  coordinated_vp            | so from the new bubble there came a wild cat
  parataxis                 | and this cat was stronger
  parataxis                 | and bigger than the first snake
  subordinate_advcl         | so she removed
  parataxis                 | she scared the snake
  parataxis                 | and snake was over
  coordinated_vp            | but then the boy flew up again into the bubbles
  coordinated_vp            | then he created an elephant
  subordinate_acl:relcl     | which was very stronger and bigger than the cat
  parataxis                 | so the cat was very scared
  coordinated_vp            | and the elephant get rid of this wild cat
  parataxis                 | then the boy did not stop there
  parataxis                 | he was having fun of that
  coordinated_vp            | so he flew up a new one
  parataxis                 | then he was able
  nonfinite_xcomp           | to remove the elephant by mouse
  subordinate_advcl         | so even though the mouse was very small
  subordinate_advcl         | compared to the elephant
  subordinate_advcl         | because the elephants get scared of them
  subordinate_advcl         | so he was able
  nonfinite_xcomp           | to get rid of the elephant
  parataxis                 | he was happy
  subordinate_ccomp         | he was making bubbles
  parataxis                 | he was having fun
  coordinated_vp            | and finally he decided
  nonfinite_xcomp           | to leave there
  coordinated_vp            | and go home
  subordinate_advcl         | so that he just put all the bottle on the ground
  coordinated_vp            | and he put everything into the trash
  coordinated_vp            | and he left there
  coordinated_vp            | but he didn't realize
  subordinate_ccomp         | that the solution turned out to be a new bubble
  subordinate_acl:relcl     | which is in dragon shape
  parataxis                 | so i think
  subordinate_ccomp         | he gave us a new beast
  subordinate_acl:relcl     | which is a dragon
  parataxis                 | and the world is not safe place right now
File: ALL_016_M_CMN_ENG_ST1.TextGrid
Clauses: 40
  subordinate_advcl         | one day when a black bird was walking along the street
  independent               | he found a hat on the ground
  parataxis                 | the hat was very beautiful
  subordinate_advcl         | so the black bird was very happy
  coordinated_vp            | and he picked up the hat
  coordinated_vp            | and put it on his head
  coordinated_vp            | and then he continued
  nonfinite_xcomp           | walking to a tree
  parataxis                 | suddenly he met with a white bird
  subordinate_ccomp         | the white bird said hello to him
  coordinated_vp            | and then laughed
  coordinated_vp            | the white bird said
  subordinate_ccomp         | wow look at your hat
  parataxis                 | it is very stupid
  parataxis                 | the black bird was very angry
  parataxis                 | he thought
  subordinate_ccomp         | that the hat looked awful
  subordinate_advcl         | so he dropped down her hat on the ground
  coordinated_vp            | and then walked away
  parataxis                 | but actually this was a trick by the white bird
  parataxis                 | in fact the white bird liked the hat
  nonfinite_participle      | so the black bird was deceived by the white bird
  coordinated_vp            | the white bird picked up the hat
  coordinated_vp            | and then went home
  coordinated_vp            | and slept on the hat
  subordinate_advcl         | when while he was sleeping
  subordinate_advcl         | the black bird found his trick
  parataxis                 | and felt
  subordinate_ccomp         | that he was very angry
  subordinate_advcl         | so the black bird came to the white bird
  coordinated_vp            | and grasped the hat from the white bird
  subordinate_advcl         | while they were arguing
  parataxis                 | the black bird put the hat on his head again
  parataxis                 | however suddenly he found
  subordinate_ccomp         | that something was wrong with the hat
  parataxis                 | something is moving in his head
  subordinate_advcl         | so he put off his head again
  subordinate_ccomp         | and found that a little white bird was above his head
  coordinated_vp            | and he found
  subordinate_ccomp         | that this was the child of the white bird
File: ALL_016_M_CMN_ENG_ST2.TextGrid
Clauses: 32
  independent               | one day a little boy was sitting under a tree
  coordinated_vp            | and blowing bubbles
  parataxis                 | the boy was very creative
  coordinated_vp            | and she blows blue bubble like a kangaroo
  coordinated_vp            | and then he blew a lot of bubbles like cars and the birds an
  parataxis                 | he was very happy
  coordinated_vp            | and blew a lot of things into the sky
  coordinated_vp            | then he blew a very long bubble
  coordinated_vp            | and the bubble formed into a snake
  parataxis                 | the boy was very scared
  subordinate_advcl         | because the snake looked very angry
  subordinate_advcl         | so on suddenly the boy had an idea
  parataxis                 | he blew a very huge bubble
  subordinate_acl:relcl     | which turned into a giant tiger
  parataxis                 | the tiger was much more aggressive than a snake
  subordinate_advcl         | so the snake escaped away immediately
  subordinate_advcl         | in case that the giant tiger was very aggressive
  coordinated_vp            | the boy blew an elephant in front of the tiger
  subordinate_advcl         | faced with the elephant
  parataxis                 | the tiger was very frightened
  coordinated_vp            | and then the tiger escaped
  coordinated_vp            | and hence the boy has an elephant
  parataxis                 | he blew some more bubbles
  coordinated_vp            | and helped the elephant
  nonfinite_xcomp           | fly into the sky
  coordinated_vp            | and then all his bubbles including the cars the birds the bu
  coordinated_vp            | and the boy finished his play
  coordinated_vp            | and then the boy poured all the water into the ground
  coordinated_vp            | and walked away
  subordinate_advcl         | however the water in the ground slightly formed into a drago
  parataxis                 | the dragon looked at the boy
  coordinated_vp            | but the boy didn't notice anything
File: ALL_017_F_KOR_ENG_ST1.TextGrid
Clauses: 36
  independent               | so one day sammy the baby eagle found a top hat
  parataxis                 | he thought
  subordinate_ccomp         | it was so interesting and beautiful
  parataxis                 | he decided
  nonfinite_xcomp           | to wear the top hat all the time
  subordinate_acl:relcl     | or everywhere he went
  parataxis                 | he was on his way to his home
  coordinated_vp            | and he bumped into john another baby bird
  parataxis                 | john thought
  subordinate_ccomp         | the top hat on sammy's head was so funny
  subordinate_ccomp         | he said
  subordinate_ccomp         | look at yourself
  parataxis                 | it's so ridiculous
  subordinate_ccomp         | you should take it off immediately
  parataxis                 | sammy was so mad
  subordinate_ccomp         | that he took his top hat off
  parataxis                 | of course john wanted the top hat
  parataxis                 | that's why he made fun of the top hat of sammy's
  parataxis                 | he wanted
  nonfinite_xcomp           | to take the top hat
  subordinate_advcl         | to make his nest for himself
  coordinated_vp            | and sammy decided
  nonfinite_xcomp           | to get his top hat back
  subordinate_ccomp         | and realize that john had already taken his top hat as his n
  parataxis                 | sammy tried
  nonfinite_xcomp           | to snatch the top hat back from john
  coordinated_vp            | and then john tried
  nonfinite_xcomp           | to actually get the top hat as his nest
  coordinated_vp            | so they struggled over the top hat
  parataxis                 | by the end of the struggle sammy won
  coordinated_vp            | and he again wore the top hat on his head
  subordinate_ccomp         | and look what we found
  subordinate_ccomp         | there was a baby bird
  subordinate_acl:relcl     | that was hidden in the top hat
  parataxis                 | and sammy was so surprised
  nonfinite_xcomp           | to find the baby bird
File: ALL_017_F_KOR_ENG_ST2.TextGrid
Clauses: 35
  independent               | kenny was playing with this bottle of soap bubble under a tr
  parataxis                 | he made a lot of things
  parataxis                 | he made a kangaroo with bubbles a car a ship a banana a jar 
  parataxis                 | he made them alive with pinkish reddish and rainbow bubble b
  coordinated_vp            | and he also decided
  nonfinite_xcomp           | to make a snake with the bubble
  coordinated_vp            | but then the snake scared him off
  subordinate_advcl         | so he decided
  nonfinite_xcomp           | to scare the snake off
  subordinate_advcl         | by making a bobcat bubble
  subordinate_advcl         | so the bobcat bubble scared off the snake bubble
  coordinated_vp            | and kenny also decided
  nonfinite_xcomp           | to make an elephant with the bubbles
  subordinate_advcl         | because he was scared
  subordinate_ccomp         | that the bobcat bubble would frighten kenny
  subordinate_advcl         | so he succeeded
  subordinate_advcl         | in making a giant elephant bubble
  subordinate_acl:relcl     | which scared the bobcat bubble away
  coordinated_vp            | but then kenny decided
  subordinate_ccomp         | that it's time
  subordinate_acl           | to go home
  parataxis                 | so he tried
  nonfinite_xcomp           | to scare the elephant bubble away
  subordinate_advcl         | by making a small tiny mouse bubble
  parataxis                 | so he had fun with this bottle of bubbles
  subordinate_advcl         | and before deciding
  nonfinite_xcomp           | to go home
  coordinated_vp            | he just wanted
  nonfinite_xcomp           | to throw all the bubbles away
  subordinate_advcl         | so he poured them all on the ground one thing
  subordinate_acl:relcl     | he didn't know
  subordinate_ccomp         | is that inside the last portion of the soap bubble there was
  parataxis                 | he might have had fun with the dragon
  subordinate_advcl         | before he finally had
  nonfinite_xcomp           | to back home
File: ALL_018_F_CMN_ENG_ST1.TextGrid
Clauses: 51
  subordinate_advcl         | one day when the black bird was walking
  independent               | he saw a nice hat on the ground
  parataxis                 | wow it looks nice
  parataxis                 | he thought
  subordinate_ccomp         | i need one hat like this
  subordinate_advcl         | so he picked it up
  coordinated_vp            | and put it on his head
  parataxis                 | he was so happy
  subordinate_ccomp         | that he had something new
  coordinated_vp            | and he was wandering around
  subordinate_advcl         | then when he came near to a tree
  parataxis                 | he met another white bird over there
  subordinate_advcl         | once the white bird saw him
  coordinated_vp            | she laid down the ground
  coordinated_vp            | and laughing very very heartily
  parataxis                 | wow that's amusing
  parataxis                 | she said to the black bird what kind of hat
  subordinate_acl:relcl     | you are wearing
  parataxis                 | it looks ugly
  parataxis                 | she pointed at his hat
  coordinated_vp            | and said to him
  subordinate_advcl         | after hearing this
  subordinate_ccomp         | the black bird got very sad and angry
  subordinate_ccomp         | he threw the hat on the ground
  coordinated_vp            | and ran away
  subordinate_ccomp_copula_less | then the white bird is a kind of happy with what
  subordinate_acl:relcl     | the black bird did
  coordinated_vp            | and she picked up the hat
  coordinated_vp            | and took it to one of the trees
  coordinated_vp            | and put it among branches
  parataxis                 | she was resting on the hat peacefully
  subordinate_advcl         | when the black bird came back
  coordinated_vp            | and saw her
  subordinate_ccomp         | wow you were so bad
  subordinate_advcl         | the black bird said to her
  subordinate_ccomp         | you just wanted my hat
  subordinate_acl:relcl     | that's why you said those words to me
  parataxis                 | he said very angrily
  nonfinite_xcomp           | and went to grab the hat
  nonfinite_participle      | now i'm going
  nonfinite_xcomp           | to take it back
  parataxis                 | said the black bird
  coordinated_vp            | and he put the hat on himself again
  parataxis                 | suddenly he felt something wrong
  parataxis                 | there seemed something
  subordinate_acl           | moving over his hat
  subordinate_advcl         | when he took off the hat
  parataxis                 | he noticed
  parataxis                 | that a small white bird was there
  subordinate_advcl         | standing on his a hat
  subordinate_ccomp         | so the big white bird was using the hat for her child
File: ALL_018_F_CMN_ENG_ST2.TextGrid
Clauses: 64
  independent               | imagine a world with magic
  subordinate_acl:relcl     | what will happen there
  parataxis                 | everything will be different even only small bubbles
  subordinate_advcl         | when a small little boy was blowing bubbles
  subordinate_advcl         | sitting there against a tree
  independent               | he thought about magic
  subordinate_acl:relcl     | then the bubbles he made
  parataxis                 | becomes different
  parataxis                 | they had turned into different shapes as cars shapes butterf
  parataxis                 | he felt so happy
  subordinate_ccomp         | that these bubbles became so fantastic
  coordinated_vp            | and he started
  nonfinite_xcomp           | to make a new one
  parataxis                 | he imagined
  subordinate_ccomp         | that the bubble will become very very long
  coordinated_vp            | and it actually did
  coordinated_vp            | but then it became a snake
  subordinate_acl:relcl     | what you made me
  subordinate_ccomp         | i want
  nonfinite_xcomp           | to eat you
  parataxis                 | the snake said to the boy
  parataxis                 | and boy was a little bit frightened
  subordinate_advcl         | so he tried
  nonfinite_xcomp           | to make new big bubble
  coordinated_vp            | and thought himself
  subordinate_ccomp         | i need a tiger
  subordinate_acl:relcl     | which can help me
  nonfinite_xcomp           | to drive away the snake
  parataxis                 | then really a tiger appeared
  coordinated_vp            | the tiger chased snake
  coordinated_vp            | and frightened it
  coordinated_vp            | so it just ran away
  coordinated_vp            | but then the tiger was threading to the little boy
  parataxis                 | i want
  nonfinite_xcomp           | to eat you
  parataxis                 | now the boy was a little bit afraid
  parataxis                 | he thought
  subordinate_ccomp         | i need something bigger
  subordinate_acl:relcl     | that can fight against the tiger
  subordinate_advcl         | so he made a very very huge bubble
  coordinated_vp            | and it became an elephant
  parataxis                 | the tiger was so afraid
  subordinate_advcl         | when he saw the elephant
  coordinated_vp            | and he ran away immediately
  parataxis                 | the elephant was very nice
  coordinated_vp            | and he saw the little boy
  nonfinite_xcomp           | making another bubble
  parataxis                 | the boy said
  subordinate_ccomp         | i think
  subordinate_ccomp         | you need
  nonfinite_xcomp           | to go away now
  coordinated_vp            | or i'm going
  nonfinite_xcomp           | to make a mouse
  parataxis                 | no the elephant said
  coordinated_vp            | and he ran away as quickly as he could that's it
  parataxis                 | the little boy said to himself
  subordinate_ccomp         | i'm going
  nonfinite_xcomp           | to get rid of all of them
  coordinated_vp            | and he just threw away all the soap
  subordinate_acl:relcl     | he had so there's no more bubbles
  coordinated_vp            | but he didn't notice
  subordinate_ccomp         | what dragon appeared from the place
  subordinate_acl:relcl     | where he threw those soap
  coordinated_vp            | and watching him walking away
File: ALL_020_M_CMN_ENG_ST1.TextGrid
Clauses: 36
  parataxis                 | one day when tom a black bird
  nonfinite_xcomp           | walking walking around the wood
  independent               | he find a hat on the grassland
  parataxis                 | he didn't know
  subordinate_ccomp         | who left this hat on the grassland
  coordinated_vp            | so he pick it up
  coordinated_vp            | and wear it
  parataxis                 | he think
  subordinate_ccomp         | the hat is very beautiful
  coordinated_vp            | and he wear the hat
  coordinated_vp            | and go around the wood
  subordinate_advcl         | until he meet larry
  parataxis                 | larry is a white bird
  subordinate_ccomp         | larry laugh at tom said
  subordinate_ccomp         | wow the hat is so ugly
  parataxis                 | why you still wear
  subordinate_ccomp         | that tom feel very angry
  coordinated_vp            | and he throw the hat away and left
  parataxis                 | larry said
  subordinate_ccomp         | he he's not that clever
  subordinate_advcl         | because i want
  nonfinite_xcomp           | to use this hat for my nest
  coordinated_vp            | and larry pick this hat
  coordinated_vp            | put it on small tree
  coordinated_vp            | and to lay eggs in the hat
  subordinate_advcl         | but several days later when tom pass by the larry's nest
  coordinated_vp            | he found the truth
  coordinated_vp            | and he take his hat away immediately
  coordinated_vp            | and tell larry
  subordinate_ccomp         | you cheating on me
  parataxis                 | the larry is very angry
  coordinated_vp            | but he did not to say a word
  subordinate_advcl         | because tom is much stronger than her
  subordinate_acl:relcl     | tom put on her hat
  coordinated_vp            | but he find something strange
  subordinate_advcl         | because the bird was born in her hat
File: ALL_020_M_CMN_ENG_ST2.TextGrid
Clauses: 33
  subordinate_advcl         | one day when tom sitting under a tree
  coordinated_vp            | and blow the bubbles suddenly
  independent               | he find
  subordinate_ccomp         | that he has mastered the skill
  subordinate_acl           | to blow the bubbles in different shapes like animals first
  parataxis                 | he blow a kangaroo
  coordinated_vp            | and then he blow more and more bubbles
  subordinate_acl:relcl     | some are like the car like a sheep like a banana like a bott
  parataxis                 | he blow everything
  parataxis                 | he can think
  subordinate_ccomp         | he can thought
  subordinate_ccomp         | at last he blow a snake
  coordinated_vp            | but the snake keep on
  nonfinite_xcomp           | stare at him
  parataxis                 | he feel very annoyed
  subordinate_advcl         | so he blow a white cat
  subordinate_advcl         | to let the white cat
  nonfinite_xcomp           | kill the snake
  coordinated_vp            | and then he blow another an elephant
  subordinate_advcl         | to get rid of the white cat
  subordinate_advcl         | because he think
  subordinate_ccomp         | the white cat is also very scary
  parataxis                 | then he blow a mouse
  subordinate_advcl         | to scare the elephant away
  subordinate_advcl         | because he think
  subordinate_ccomp         | elephant is much stronger than him
  parataxis                 | but he is much stronger than mouse finally all the bubbles h
  coordinated_vp            | and he pour
  nonfinite_xcomp           | pour the soup liquid on the ground
  coordinated_vp            | and left unfortunately
  subordinate_acl:relcl     | the soup he poured on the ground
  subordinate_ccomp         | become a dragon
  coordinated_vp            | and wandering in the wood
File: ALL_021_M_CMN_ENG_ST1.TextGrid
Clauses: 39
  independent               | one day a black bird found a head way on his way home
  coordinated_vp            | and it found
  subordinate_ccomp         | that the head is very beautiful
  coordinated_vp            | and so it picked up
  coordinated_vp            | and wear it on its head
  subordinate_advcl         | after a while when it went past a white bird
  parataxis                 | the white bird said
  subordinate_ccomp         | the white bird saw him
  coordinated_vp            | and the head the white bird thought
  subordinate_ccomp         | that this head it's very suitable for its nest
  subordinate_advcl         | so it tried to
  parataxis                 | it tried
  nonfinite_xcomp           | to get the head from the black bird
  coordinated_vp            | so the white bird laughed at the black bird immediate immedi
  coordinated_vp            | and said to the black bird
  subordinate_ccomp_copula_less | what an red
  parataxis                 | what a ridiculous head and the black bird was very angry
  coordinated_vp            | but but he thought
  subordinate_ccomp_copula_less | the head may maybe really ridiculous
  subordinate_advcl         | so the black bird threw the head away
  parataxis                 | then then the white bird happily picked up the head
  coordinated_vp            | and use it as its nest
  coordinated_vp            | several days later the black bird came
  coordinated_vp            | came to the tree
  subordinate_acl:relcl     | which the white bird lived
  subordinate_ccomp         | and saw that the white bird used its head as a nest
  coordinated_vp            | so the black bird found
  subordinate_ccomp         | that he was cheated by the white bird
  coordinated_vp            | and then the black bird immediately immediately run into the
  coordinated_vp            | and took away the head
  coordinated_vp            | and after that the black bird wear the head immediately
  coordinated_vp            | but he found something strange inside the head
  parataxis                 | it's a warm and small object
  coordinated_vp            | so he took off his head
  subordinate_ccomp         | and found that there is a small bird
  parataxis                 | which maybe child of the white bird that inside the head
  coordinated_vp            | and use it as a nest
  subordinate_advcl         | so the black bird has no choice
  subordinate_acl           | but return the head to the white to the white bird family as
File: ALL_021_M_CMN_ENG_ST2.TextGrid
Clauses: 42
  independent               | little tom is very good at bubble blowing
  parataxis                 | he can he can blow any shapes of bubbles and bubbles and bub
  subordinate_acl:relcl     | he blow out
  parataxis                 | can be
  parataxis                 | as as can and the ba and the bubbles
  subordinate_acl:relcl     | he blows
  parataxis                 | can can be any shapes of animals and and there is a magic po
  subordinate_acl:relcl     | that the bubbles can move
