id;Consider_Construction;classification
155;of the BCS strategy and graph shows the retrieval quality of the PE strategy when only a single evaluation period is considered (PE(1)). </s><s> Both strategies do not depend on the the number of observation periods (x-axis). </s><s> The intersection point of;non-evaluative
156;quality is superior to the PE method in a probabilistic sense. </s><s> In order to quantify this situation, in figure (right) we consider the delay of the considered strategies according to definition (). </s><s> The data points close to denote the delay of results;non-evaluative
157;PE method in a probabilistic sense. </s><s> In order to quantify this situation, in figure (right) we consider the delay of the considered strategies according to definition (). </s><s> The data points close to denote the delay of results of the PE strategy;non-evaluative
158;strategies according to definition (). </s><s> The data points close to denote the delay of results of the PE strategy considering a single evaluation period (PE(1)). </s><s> The figure shows that results are delivered with a delay of approximately 0.550%;non-evaluative
159;sources </s><s> In the following experiments we applied the BCS strategy to data sources on the Web. </s><s> In particular we considered the homepages of diverse newspapers in English or German. </s><s> Before the experiments we first created a Web archive over a;non-evaluative
160;the list of stop words. </s><s> Thereby 480 German and 480 English query terms were extracted. </s><s> In the following experiments we considered BCS queries of the following structure: Query: SELECT ESTIMATED BEST d FROM PAGE url WHERE query='singleterm';non-evaluative
161;quality (graded recall) of the BCS, the PE(j) and the PE(1) strategy for 12 Web pages, 7 in German and 5 in English. </s><s> We consider a number of the 4 best objects to be chosen (). </s><s> Each entry in the table is the mean value of the respective quality;non-evaluative
162;respective information is assumed to be structured. </s><s> In many information dissemination systems, too [9], [13], the considered query languages concern structured or semistructured data [29], [17], [27], [9], [10], [36], [28]. </s><s> In [23] and [24];non-evaluative
163;in a Web context and allow e.g. the evaluation of requests to Web forms. </s><s> Although the basic syntax of the query language considered in this paper is similar to many of the previous languages, we focus on unstructured data, in particular documents;non-evaluative
164;tracking [2], [3], [38]. </s><s> In the filtering track of the Text Retrieval Conference (TREC) [18] streams of documents are considered . </s><s> The task is to optimize methods that realize an immediate distribution of relevant documents. </s><s> A binary decision is;non-evaluative
165;the amount of information returned by a query engine without the need of further user interaction in this paper we consider bounded continuous search queries. </s><s> Although bounded query strategies are well-known and applied in current Web;non-evaluative
166;, [15], [30], [34] we develop a new solution for the optimization of bounded continuous search queries. </s><s> In this paper we consider continuous search queries as a means to search for information appearing in a specific Web area over a period of time. </s>;non-evaluative
167;. </s><s> In this paper we focus on the latter query method which we denote as bounded continuous search. </s><s> The main advantages to consider bounded queries is a simple query formulation since no threshold (except the maximal amount of information to be;non-evaluative
168;stopping is a problem well-known in the field of financial mathematics [34]. </s><s> The results of this paper indicate that, considering charts of the relevance of document versions, further instruments from the field of financial mathematics may be;non-evaluative
169;this case the applied information retrieval measures presented here have to be modified as described e.g. in [38]. </s><s> We consider the time needed to compute a ranking value negligible. </s><s> Therefore the time a document is obtained corresponds to the;evaluative
170;, i.e., the case where both parties are waiting to receive some message from the other. </s><s> To illustrate the concepts, consider the protocols of SP and SC in Figure 1(a): SC sends message b (shown by a -b), while SP does not expect to receive it (;non-evaluative
171;have been provided by the developer, and (ii) if there are interactions which lead to deadlocks, such interactions are considered as not adaptable. </s><s> However, our experiments show that: first, the interactions of many real-world services may result;evaluative
172;those mismatches. </s><s> We do this by leveraging approaches in XML schema matching [24], but we refine and extend them by considering , beyond message types, the contextual information provided by the service schema (the WSDL document). </s><s> This enables a;non-evaluative
173;7 we discuss related work and present the concluding remarks. </s><s> 2 A Motivating Example </s><s> As a motivating example, we consider an adaptation task for services in the management of shopping carts. </s><s> XWebCheckOut2 and Google Checkout3 are;non-evaluative
174;Ic and protocols Ps and Pc, the goal is to find the matching between messages in interfaces Is and Ic. </s><s> In this phase, we do consider not only the information in Is and Ic, but also the ordering constraints that protocols define. </s><s> We argue that interface;non-evaluative
175;ordering constraints that protocols define. </s><s> We argue that interface matching cannot be addressed properly without considering the ordering constraints, as well, since e.g., a given mapping function m func(m1, m2) may seem possible by looking at;non-evaluative
176;e.g., a given mapping function m func(m1, m2) may seem possible by looking at the interface-level information, but considering the protocol information, the adapter may not have received m1 and m2 when it is needed to synthesize m. </s><s> In the following;non-evaluative
177;. </s><s> Figure 4: AddOrderRequest and its candidates for matching in Google checkout APIs </s><s> To illustrate the approach, let's consider the schema of <Order> in XWebCheckout and its corresponding matches in Google APIs depicted in Figure 4. </s><s> We used COMA++;non-evaluative
178;through creating a new complex XML element, named after the message, and includes the schema of the messages. </s><s> This is considered in Figure 4. </s><s> Considering the message type. </s><s> An indication that helps in reducing the number of required pair-wise;non-evaluative
179;complex XML element, named after the message, and includes the schema of the messages. </s><s> This is considered in Figure 4. </s><s> Considering the message type. </s><s> An indication that helps in reducing the number of required pair-wise message matchings is;non-evaluative
180;the message type. </s><s> An indication that helps in reducing the number of required pair-wise message matchings is considering the message type, i.e., if a message is an input or output of an operation definition. </s><s> When generating adapters for;non-evaluative
181;interfaces. </s><s> In Figure 4 we have the interfaces of the two services XWebCheckout and the Google Checkout. </s><s> Without considering the operation definitions, the matching results in Figure 4 suggest that message is the best match for message based on;non-evaluative
182;results in Figure 4 suggest that message is the best match for message based on the matching score. </s><s> However, if we consider the operation definition constraints on mappings, we observe that is an input message for operation, while message is;non-evaluative
183;output message in a notification operation with the same name. </s><s> On the other hand, message is the input of operation. </s><s> So, considering the operation definitions we conclude that the only is a possible match for , although it has a smaller matching score. </s>;non-evaluative
184;that are generated based only on the interface information during the adapter generation. </s><s> This becomes clear by considering the ordering constraints that two services impose on the exchange of messages. </s><s> We refer to such matches as;non-evaluative
185;services impose on the exchange of messages. </s><s> We refer to such matches as non-plausible matches. </s><s> As an example, let's consider the protocol definitions SP and SC in Figure 1(b). </s><s> Interface matching results for these protocols specifies that;non-evaluative
186;matching results for these protocols specifies that message <SC,ack> is matched to message <SP,ack>. </s><s> However, considering ordering constraints, we observe that the message <SP,ack> is not received by the time that <SC,ack> is needed, so this;non-evaluative
187;need to develop mapping functions for extra/missing messages in the two interfaces also could not be answered without considering the protocol-level information. </s><s> This is because the protocol-level information will clarify if and at what state;non-evaluative
188;interface mappings in IMA, or non-plausible interface mappings in IMA. </s><s> In fact, we only understand these two cases by considering the protocol-level information. </s><s> In this section, we propose techniques to identify such mismatches, represent and;non-evaluative
189;ii) there is no mapping provided for a message m (e.g., for a missing/extra message). </s><s> To illustrate the approach, let's consider protocols SP and SC in Figure 6(a), in which their interactions result in deadlock as both are waiting to receive some;non-evaluative
190;that is previously exchanged between services. </s><s> In this case, the probability that m could be constructed is considered as the similarity score of elements of m to existing messages in the adapter from interface I. </s><s> (iii) Enumeration with;non-evaluative
191;1 of the service are in XML format and conform to the XML schemas in the second version, with few exceptions. </s><s> However, by considering only the schema definitions we could not make such an inference. </s><s> Developer Input. </s><s> As discussed, determining if a given;non-evaluative
192;developer. </s><s> Figure 8: The mismatch tree for the placing order protocol of CO_Client, Google Checkout in Figure 3 </s><s> Let's consider very simple protocols of CO_Client and Google Checkout depicted in Figure 3. </s><s> In Figure 4 we concluded that message is a;non-evaluative
193;8, in the first step, we analyzed the WSDL interfaces of CO_Client and Google Checkout. has a element as its content. </s><s> Considering the relationship between these messages and reveals that it is an element of this message that is sent by Google;non-evaluative
194;make any assumptions on service interfaces. </s><s> We build on top of schema mapping approaches [24,9] and we extend them by considering protocol definitions to identify the set of relevant mappings in service interactions. </s><s> In [12], the author proposes;non-evaluative
195;discovering subscription matches not found using traditional syntactic syndication approaches. </s><s> In this work, we consider using the Web Ontology Language (OWL) for representing published content. </s><s> As the semantics of a large subset of OWL is;non-evaluative
196;, as OWL can be encoded in RDF. </s><s> To demonstrate the increased expressivity of an OWL-based syndication approach, consider the following example related to the financial domain. </s><s> Assume that a stock trader is interested in information;non-evaluative
197;"of objects cannot be supported; therefore, an XML-based approach cannot accommodate the previous example. </s><s> If we consider an RDF-based approach, then a syndication broker can model the financial domain using RDF Schema; therefore,";non-evaluative
198;query answering over OWL KBs that are being updated, primarily focusing on reducing the size of the KB that must be considered as candidate query bindings. </s><s> This effectively allows a smaller subset of the KB to be considered for possible;evaluative
199;of the KB that must be considered as candidate query bindings. </s><s> This effectively allows a smaller subset of the KB to be considered for possible subscription matches. </s><s> The techniques we present are applicable to queries with at least one;non-evaluative
200;is an expression of the form , where . An RBox is a finite set of role inclusion axioms and transitivity axioms. </s><s> To avoid considering the role we introduce the function , which returns the inverse of a role . Additionally, for a role hierarchy let the;non-evaluative
